time,steering_velocity,acceleration
0.0,0.0,0.0
0.01,-2.877544846263105e-5,-0.0009765359946380273
0.02,-5.75508969252621e-5,-0.0019530719892760545
0.03,-8.632634538789314e-5,-0.002929607983914082
0.04,-0.0001151017938505242,-0.003906143978552109
0.05,-0.00014387724231315524,-0.004882679973190136
0.06,-0.0001726526907757863,-0.005859215967828163
0.07,-0.00020142813923841734,-0.00683575196246619
0.08,-0.0002302035877010484,-0.007812287957104217
0.09,-0.0002589790361636794,-0.008788823951742245
0.1,-0.0002877544846263105,-0.009765359946380272
0.11,-0.0003165299330889415,-0.0107418959410183
0.12,-0.0003453053815515726,-0.011718431935656326
0.13,-0.00037408083001420363,-0.012694967930294353
0.14,-0.0004028562784768347,-0.01367150392493238
0.15,-0.00043163172693946574,-0.014648039919570408
0.16,-0.0004604071754020968,-0.015624575914208435
0.17,-0.0004891826238647278,-0.01660111190884646
0.18,-0.0005179580723273588,-0.01757764790348449
0.19,-0.0005467335207899899,-0.01855418389812252
0.2,-0.000575508969252621,-0.019530719892760548
0.21,-0.000604284417715252,-0.020507255887398577
0.22,-0.000633059866177883,-0.021483791882036606
0.23,-0.0006618353146405141,-0.022460327876674634
0.24,-0.0006906107631031452,-0.023436863871312663
0.25,-0.0007193862115657762,-0.024413399865950692
0.26,-0.0007481616600284073,-0.02538993586058872
0.27,-0.0007769371084910383,-0.02636647185522675
0.28,-0.0008057125569536694,-0.02734300784986478
0.29,-0.0008344880054163004,-0.028319543844502807
0.3,-0.0008632634538789315,-0.029296079839140836
0.31,-0.0008920389023415625,-0.030272615833778865
0.32,-0.0009208143508041936,-0.031249151828416893
0.33,-0.0009495897992668246,-0.03222568782305492
0.34,-0.0009783652477294556,-0.033202223817692944
0.35,-0.0010071406961920865,-0.03417875981233097
0.36,-0.0010359161446547175,-0.035155295806968995
0.37,-0.0010646915931173484,-0.03613183180160702
0.38,-0.0010934670415799794,-0.037108367796245045
0.39,-0.0011222424900426103,-0.03808490379088307
0.4,-0.0011510179385052412,-0.039061439785521096
0.41,-0.0011797933869678722,-0.04003797578015912
0.42,-0.0012085688354305031,-0.04101451177479715
0.43,-0.001237344283893134,-0.04199104776943517
0.44,-0.001266119732355765,-0.0429675837640732
0.45,-0.001294895180818396,-0.04394411975871122
0.46,-0.001323670629281027,-0.04492065575334925
0.47,-0.0013524460777436579,-0.04589719174798727
0.48,-0.0013812215262062888,-0.0468737277426253
0.49,-0.0014099969746689197,-0.047850263737263324
0.5,-0.0014387724231315507,-0.04882679973190135
0.51,-0.0014675478715941816,-0.049803335726539374
0.52,-0.0014963233200568126,-0.0507798717211774
0.53,-0.0015250987685194435,-0.051756407715815425
0.54,-0.0015538742169820745,-0.05273294371045345
0.55,-0.0015826496654447054,-0.053709479705091476
0.56,-0.0016114251139073364,-0.0546860156997295
0.57,-0.0016402005623699673,-0.055662551694367526
0.58,-0.0016689760108325982,-0.05663908768900555
0.59,-0.0016977514592952292,-0.05761562368364358
0.6,-0.0017265269077578601,-0.0585921596782816
0.61,-0.001755302356220491,-0.05956869567291963
0.62,-0.001784077804683122,-0.06054523166755765
0.63,-0.001812853253145753,-0.06152176766219568
0.64,-0.001841628701608384,-0.062498303656833704
0.65,-0.0018704041500710148,-0.06347483965147173
0.66,-0.0018991795985336458,-0.06445137564610975
0.67,-0.0019279550469962767,-0.06542791164074778
0.68,-0.0019567304954589077,-0.0664044476353858
0.69,-0.001985505943921539,-0.06738098363002383
0.7,-0.00201428139238417,-0.06835751962466186
0.71,-0.002043056840846801,-0.06933405561929988
0.72,-0.0020718322893094323,-0.0703105916139379
0.73,-0.0021006077377720635,-0.07128712760857593
0.74,-0.0021293831862346946,-0.07226366360321396
0.75,-0.002158158634697326,-0.07324019959785198
0.76,-0.002186934083159957,-0.07421673559249001
0.77,-0.002215709531622588,-0.07519327158712803
0.78,-0.0022444849800852193,-0.07616980758176606
0.79,-0.0022732604285478505,-0.07714634357640408
0.8,-0.0023020358770104816,-0.07812287957104211
0.81,-0.0023308113254731128,-0.07909941556568013
0.82,-0.002359586773935744,-0.08007595156031816
0.83,-0.002388362222398375,-0.08105248755495618
0.84,-0.0024171376708610063,-0.08202902354959421
0.85,-0.0024459131193236374,-0.08300555954423224
