time,steering_velocity,acceleration
0.0,0.0,0.0
0.01,-5.688448607076095e-5,-0.00010050567362854257
0.02,-0.0001137689721415219,-0.00020101134725708514
0.03,-0.00017065345821228286,-0.0003015170208856277
0.04,-0.0002275379442830438,-0.0004020226945141703
0.05,-0.0002844224303538048,-0.0005025283681427128
0.06,-0.0003413069164245657,-0.0006030340417712554
0.07,-0.00039819140249532667,-0.000703539715399798
0.08,-0.0004550758885660876,-0.0008040453890283406
0.09,-0.0005119603746368486,-0.0009045510626568831
0.1,-0.0005688448607076096,-0.0010050567362854257
0.11,-0.0006257293467783706,-0.0011055624099139683
0.12,-0.0006826138328491316,-0.0012060680835425108
0.13,-0.0007394983189198926,-0.0013065737571710534
0.14,-0.0007963828049906536,-0.001407079430799596
0.15,-0.0008532672910614146,-0.0015075851044281385
0.16,-0.0009101517771321756,-0.001608090778056681
0.17,-0.0009670362632029366,-0.0017085964516852237
0.18,-0.0010239207492736976,-0.0018091021253137662
0.19,-0.0010808052353444586,-0.0019096077989423088
0.2,-0.0011376897214152196,-0.0020101134725708514
0.21,-0.0011945742074859805,-0.002110619146199394
0.22,-0.0012514586935567415,-0.0022111248198279365
0.23,-0.0013083431796275025,-0.002311630493456479
0.24,-0.0013652276656982635,-0.0024121361670850217
0.25,-0.0014221121517690245,-0.0025126418407135642
0.26,-0.0014789966378397855,-0.002613147514342107
0.27,-0.0015358811239105465,-0.0027136531879706494
0.28,-0.0015927656099813075,-0.002814158861599192
0.29,-0.0016496500960520685,-0.0029146645352277345
0.3,-0.0017065345821228295,-0.003015170208856277
0.31,-0.0017634190681935905,-0.0031156758824848196
0.32,-0.0018203035542643515,-0.003216181556113362
0.33,-0.0018771880403351125,-0.0033166872297419048
0.34,-0.0019340725264058735,-0.0034171929033704473
0.35,-0.0019909570124766345,-0.00351769857699899
0.36,-0.0020478414985473955,-0.0036182042506275325
0.37,-0.0021047259846181565,-0.003718709924256075
0.38,-0.0021616104706889175,-0.0038192155978846176
0.39,-0.0022184949567596785,-0.00391972127151316
0.4,-0.0022753794428304395,-0.004020226945141703
0.41,-0.0023322639289012005,-0.004120732618770245
0.42,-0.0023891484149719615,-0.004221238292398788
0.43,-0.0024460329010427225,-0.0043217439660273305
0.44,-0.0025029173871134835,-0.004422249639655873
0.45,-0.0025598018731842445,-0.004522755313284416
0.46,-0.0026166863592550055,-0.004623260986912958
0.47,-0.0026735708453257665,-0.004723766660541501
0.48,-0.0027304553313965275,-0.004824272334170043
0.49,-0.0027873398174672885,-0.004924778007798586
0.5,-0.0028442243035380495,-0.0050252836814271284
